"","age","workclass","educationnum","maritalstatus","occupation","sex","hoursperweek","X50k"
"97",32," Self-emp-inc",12,"Married"," Craft-repair",2,40,2
"98",30," Private",10,"NeverMarried"," Handlers-cleaners",2,40,1
"99",31," gov",12,"NeverMarried"," Adm-clerical",1,40,1
"100",42," Private",12,"Married"," Handlers-cleaners",2,40,1
"101",24," Private",16,"NeverMarried"," Sales",2,40,1
"102",38," Private",18,"Married"," Prof-specialty",2,40,2
"103",56," Self-emp-not-inc",12,"Married"," Other-service",2,50,2
"104",28," Private",13,"Married"," Sales",1,25,1
"105",36," Private",12,"NeverMarried"," Machine-op-inspct",1,40,1
"106",53," Private",8,"Married"," Handlers-cleaners",2,50,1
"107",56," Self-emp-inc",13,"Married"," Sales",2,50,1
"108",49," gov",14,"Married"," Craft-repair",2,40,2
"109",55," Private",13,"Married"," Sales",2,56,1
"110",22," Private",12,"NeverMarried"," Craft-repair",2,41,1
"111",21," Private",13,"NeverMarried"," Other-service",1,40,1
"112",40," Private",16,"Married"," Exec-managerial",2,60,1
"113",30," Private",16,"NeverMarried"," Exec-managerial",2,40,1
"114",29," gov",16,"Married"," Prof-specialty",2,50,2
"115",19," Private",13,"NeverMarried"," Other-service",2,35,1
"116",47," Private",16,"Married"," Exec-managerial",1,40,2
"117",20," Private",13,"NeverMarried"," Adm-clerical",1,28,1
"118",31," Private",15,"Married"," Adm-clerical",2,40,2
"119",39," Private",13,"DSW"," Craft-repair",2,40,1
"120",28," Private",15,"NeverMarried"," Sales",1,60,1
"121",24," Private",12,"NeverMarried"," Other-service",1,40,1
"122",38," Self-emp-not-inc",12,"Married"," Craft-repair",2,35,1
"123",37," Private",16,"Married"," Sales",2,50,1
"124",46," Private",15,"DSW"," Tech-support",1,36,1
"125",38," gov",17,"Married"," Prof-specialty",2,40,2
"126",43," Self-emp-not-inc",12,"Married"," Craft-repair",2,60,1
"127",27," Private",14,"Married"," Adm-clerical",1,35,1
"128",20," Private",13,"NeverMarried"," Sales",2,20,1
"129",49," Private",13,"Married"," Craft-repair",2,40,2
"130",61," Self-emp-inc",12,"Married"," Craft-repair",2,40,1
"131",27," Private",13,"NeverMarried"," Sales",1,40,1
"132",19," Private",13,"NeverMarried"," Other-service",2,30,1
"133",45," Private",14,"NeverMarried"," Prof-specialty",1,40,2
"134",70," Private",13,"NeverMarried"," Tech-support",2,40,1
"135",31," Private",12,"NeverMarried"," Transport-moving",1,30,1
"136",22," Private",13,"Married"," Other-service",2,24,1
"137",36," Private",12,"DSW"," Other-service",1,24,1
"138",64," Private",10,"Married"," Craft-repair",2,40,1
"139",47," gov",13,"DSW"," Adm-clerical",1,38,1
"140",34," Private",12,"NeverMarried"," Adm-clerical",1,40,1
"141",33," Private",16,"NeverMarried"," Exec-managerial",1,40,1
"142",21," Private",12,"NeverMarried"," Craft-repair",2,35,1
"143",48," Private",12,"Married"," Craft-repair",2,46,1
"144",23," Private",16,"NeverMarried"," Handlers-cleaners",2,40,1
"145",29," Private",12,"DSW"," Craft-repair",2,60,1
"146",42," Private",16,"DSW"," Other-service",2,50,1
"147",25," Private",12,"NeverMarried"," Other-service",1,40,1
"148",44," Self-emp-inc",17,"DSW"," Exec-managerial",1,40,1
"149",28," Private",12,"NeverMarried"," Exec-managerial",1,40,1
"150",45," Self-emp-not-inc",17,"Married"," Sales",2,40,2
"151",36," Private",13,"DSW"," Other-service",1,40,1
"152",39," gov",15,"NeverMarried"," Exec-managerial",2,42,1
"153",46," gov",17,"DSW"," Protective-serv",2,40,1
"154",18," Private",10,"NeverMarried"," Handlers-cleaners",2,16,1
"155",66," gov",14,"DSW"," Prof-specialty",1,20,1
"156",27," Private",12,"NeverMarried"," Other-service",2,40,1
"157",28," gov",12,"Married"," Protective-serv",2,40,1
"158",51," Private",13,"Married"," Sales",2,40,2
"159",27," Private",16,"NeverMarried"," Craft-repair",2,50,1
"160",28," gov",16,"Married"," Prof-specialty",2,40,2
"161",27," Private",12,"Married"," Sales",1,25,1
"162",21," Private",12,"NeverMarried"," Craft-repair",2,40,1
"163",34," Private",12,"NeverMarried"," Handlers-cleaners",2,40,1
"164",18," Private",12,"NeverMarried"," Other-service",2,12,1
"165",33," Private",16,"Married"," Prof-specialty",2,65,1
"166",44," gov",13,"Married"," Exec-managerial",2,38,2
"167",43," Private",13,"DSW"," Adm-clerical",1,40,1
"168",30," Private",13,"NeverMarried"," Craft-repair",2,45,1
"169",40," Private",7,"Married"," Machine-op-inspct",2,40,2
"170",37," gov",13,"Married"," Adm-clerical",2,42,2
"171",34," Private",12,"Married"," Adm-clerical",2,40,1
"172",41," Self-emp-not-inc",16,"DSW"," Exec-managerial",1,40,1
"173",31," Private",17,"Married"," Prof-specialty",1,50,1
"174",38," Private",13,"DSW"," Machine-op-inspct",1,28,1
"175",24," Private",13,"Married"," Machine-op-inspct",2,40,1
"176",41," gov",16,"Married"," Craft-repair",2,40,1
"177",47," Private",13,"Married"," Tech-support",2,45,1
"178",41," gov",16,"Married"," Tech-support",2,24,1
"179",23," Private",6,"Married"," Transport-moving",2,40,1
"180",36," Private",13,"DSW"," Craft-repair",2,40,1
"181",40," gov",17,"NeverMarried"," Exec-managerial",1,55,2
"182",35," Private",17,"Married"," Prof-specialty",2,40,2
"183",24," Self-emp-not-inc",12,"NeverMarried"," Sales",2,40,1
"184",26," Private",17,"NeverMarried"," Prof-specialty",1,40,1
"185",51," Private",16,"Married"," Exec-managerial",2,50,2
"186",42," gov",13,"NeverMarried"," Prof-specialty",1,40,1
"187",37," gov",12,"DSW"," Adm-clerical",1,35,1
"188",18," Private",10,"NeverMarried"," Sales",1,40,1
"189",36," Private",16,"Married"," Other-service",2,36,2
"190",35," Private",12,"DSW"," Craft-repair",2,60,1
"191",58," Self-emp-inc",12,"Married"," Sales",1,35,2
"192",17," Private",10,"NeverMarried"," Sales",1,12,1
"193",44," gov",12,"Married"," Transport-moving",2,40,1
"194",37," Private",12,"Married"," Craft-repair",2,40,2
"195",35," Private",13,"NeverMarried"," Sales",1,40,1
"196",60," Private",12,"Married"," Craft-repair",2,40,1
"197",54," Self-emp-inc",7,"Married"," Machine-op-inspct",2,40,2
"198",37," Private",16,"NeverMarried"," Exec-managerial",2,60,2
"199",50," Private",15,"DSW"," Sales",1,40,1
"200",38," Private",16,"Married"," Sales",2,50,1
"201",45," Private",16,"Married"," Prof-specialty",2,55,1
"202",25," Private",9,"NeverMarried"," Craft-repair",2,40,1
"203",31," Private",13,"Married"," Handlers-cleaners",2,40,1
"204",54," Private",12,"Married"," Adm-clerical",2,20,1
"205",18," Private",12,"NeverMarried"," Sales",1,40,1
"206",66," Self-emp-not-inc",12,"Married"," Farming-fishing",2,50,1
"207",75," Private",14,"DSW"," Adm-clerical",1,20,1
"208",65," Private",12,"DSW"," Adm-clerical",1,40,1
"209",35," Private",10,"DSW"," Transport-moving",2,40,1
"210",41," Private",12,"DSW"," Sales",1,38,1
"211",25," Private",13,"NeverMarried"," Adm-clerical",2,42,1
"212",33," Private",13,"DSW"," Craft-repair",1,40,1
"213",28," Private",18,"NeverMarried"," Prof-specialty",2,55,2
"214",59," gov",12,"Married"," Other-service",2,40,1
"215",40," gov",13,"NeverMarried"," Adm-clerical",1,38,1
"216",41," Private",16,"Married"," Exec-managerial",2,50,2
"217",38," gov",17,"Married"," Exec-managerial",2,70,2
"218",23," Private",12,"NeverMarried"," Transport-moving",2,40,1
"219",40," Private",16,"Married"," Prof-specialty",2,40,2
"220",41," Self-emp-not-inc",12,"Married"," Other-service",1,20,1
"221",24," gov",15,"Married"," Protective-serv",2,50,1
"222",38," Private",13,"DSW"," Craft-repair",2,40,1
"223",56," Private",12,"Married"," Adm-clerical",2,35,1
"224",58," Private",12,"Married"," Adm-clerical",2,45,2
"225",32," Private",12,"NeverMarried"," Other-service",1,34,1
"226",40," Private",15,"Married"," Tech-support",2,60,2
"227",45," Private",12,"Married"," Adm-clerical",2,40,1
"228",41," Private",18,"Married"," Prof-specialty",1,40,2
"229",42," Private",16,"Married"," Adm-clerical",1,40,1
"230",59," gov",9,"DSW"," Other-service",1,30,1
"231",19," gov",13,"NeverMarried"," Adm-clerical",2,40,1
"232",58," Private",13,"NeverMarried"," Transport-moving",2,20,1
"233",42," Self-emp-not-inc",12,"Married"," Farming-fishing",2,40,2
"234",20," Private",12,"NeverMarried"," Other-service",1,40,1
"235",32," Private",12,"DSW"," Other-service",1,30,1
"236",45," Private",14,"DSW"," Exec-managerial",1,45,1
"237",50," Private",7,"DSW"," Craft-repair",2,40,1
"238",36," Private",16,"DSW"," Prof-specialty",1,40,1
"239",45," Private",12,"Married"," Sales",2,60,1
"240",17," Private",10,"NeverMarried"," Other-service",2,12,1
"241",59," Private",13,"Married"," Sales",2,40,1
"242",26," Private",10,"Married"," Craft-repair",2,40,1
"243",37," Self-emp-inc",13,"Married"," Exec-managerial",2,75,2
"244",64," Private",12,"Married"," Exec-managerial",2,40,2
"245",33," Private",16,"NeverMarried"," Prof-specialty",1,45,1
"246",33," Private",12,"Married"," Craft-repair",1,40,2
"247",61," Private",12,"Married"," Exec-managerial",2,40,2
"248",17," Private",8,"NeverMarried"," Other-service",2,24,1
"249",27," gov",17,"NeverMarried"," Prof-specialty",2,35,1
"250",30," Private",12,"DSW"," Prof-specialty",1,40,1
"251",43," Private",12,"Married"," Handlers-cleaners",2,40,1
"252",44," Private",13,"Married"," Craft-repair",2,40,2
"253",35," Private",13,"NeverMarried"," Exec-managerial",1,40,1
"254",25," Private",13,"NeverMarried"," Tech-support",1,40,1
"255",24," Private",13,"Married"," Machine-op-inspct",1,48,2
"256",22," Private",16,"NeverMarried"," Prof-specialty",1,15,1
"257",42," gov",13,"Married"," Craft-repair",2,40,2
"258",34," Private",15,"DSW"," Sales",1,45,1
"259",60," Private",16,"DSW"," Prof-specialty",1,42,1
"260",21," Private",12,"NeverMarried"," Handlers-cleaners",2,40,1
"261",57," gov",17,"Married"," Sales",2,40,2
"262",41," Private",18,"Married"," Prof-specialty",2,60,2
"263",50," Private",13,"DSW"," Other-service",2,45,1
"264",25," Private",16,"NeverMarried"," Exec-managerial",1,40,1
"265",50," Private",7,"Married"," Craft-repair",2,40,1
"266",36," Private",16,"Married"," Prof-specialty",2,45,1
"267",31," Private",12,"DSW"," Prof-specialty",1,40,1
"268",29," gov",16,"NeverMarried"," Protective-serv",2,56,1
"269",21," Private",13,"NeverMarried"," Sales",2,45,1
"270",27," Private",16,"NeverMarried"," Tech-support",1,40,1
"271",65," Private",12,"Married"," Transport-moving",2,16,1
"272",37," Self-emp-inc",16,"DSW"," Sales",1,60,1
"273",24," Private",12,"NeverMarried"," Craft-repair",2,40,1
"274",48," Private",16,"Married"," Adm-clerical",2,40,2
"275",21," Private",13,"NeverMarried"," Other-service",1,25,1
"276",31," Private",12,"Married"," Transport-moving",2,45,2
"277",55," Private",12,"Married"," Sales",2,40,2
"278",24," Private",13,"Married"," Adm-clerical",1,40,1
"279",43," Private",12,"DSW"," Adm-clerical",1,40,1
"280",26," Private",15,"NeverMarried"," Tech-support",2,45,1
"281",46," Private",15,"NeverMarried"," Prof-specialty",1,33,1
"282",35," Private",15,"Married"," Adm-clerical",2,40,2
"283",41," Self-emp-inc",13,"Married"," Farming-fishing",2,54,2
"284",26," Private",16,"NeverMarried"," Sales",2,40,1
"285",34," Private",17,"Married"," Exec-managerial",2,35,2
"286",36," Self-emp-not-inc",16,"DSW"," Prof-specialty",1,40,2
"287",22," Private",13,"NeverMarried"," Sales",2,15,1
"288",24," Private",13,"NeverMarried"," Machine-op-inspct",2,40,1
"289",22," Private",6,"Married"," Machine-op-inspct",1,40,1
"290",29," Private",13,"NeverMarried"," Tech-support",1,40,1
"291",62," Private",12,"DSW"," Other-service",1,24,1
"292",39," Self-emp-not-inc",12,"Married"," Exec-managerial",2,40,1
"293",43," Private",13,"Married"," Craft-repair",2,50,1
"294",35," Private",12,"DSW"," Transport-moving",2,45,1
"295",29," Private",10,"NeverMarried"," Exec-managerial",1,40,1
"296",63," Self-emp-not-inc",12,"Married"," Farming-fishing",2,45,1
"297",43," Private",13,"Married"," Prof-specialty",1,50,2
"298",58," Self-emp-not-inc",12,"Married"," Handlers-cleaners",2,40,1
"299",66," Private",12,"NeverMarried"," Transport-moving",2,55,1
"300",41," Private",13,"NeverMarried"," Craft-repair",2,45,1
"301",26," Private",16,"NeverMarried"," Adm-clerical",2,40,1
"302",47," Private",14,"NeverMarried"," Other-service",2,40,1
"303",55," gov",9,"Married"," Adm-clerical",2,40,1
"304",53," Private",12,"Married"," Transport-moving",2,40,1
"305",17," Private",6,"NeverMarried"," Other-service",2,48,1
"306",30," Private",12,"NeverMarried"," Craft-repair",2,40,1
"307",49," Private",17,"NeverMarried"," Prof-specialty",2,60,1
"308",19," Private",12,"NeverMarried"," Sales",2,30,1
"309",45," Private",12,"Married"," Other-service",2,40,1
"310",26," Private",15,"NeverMarried"," Sales",2,40,1
"311",38," Private",14,"Married"," Craft-repair",2,40,2
"312",36," gov",12,"Married"," Protective-serv",2,40,2
"313",33," Private",12,"NeverMarried"," Farming-fishing",2,20,1
"314",22," gov",13,"NeverMarried"," Protective-serv",1,40,1
"315",43," Self-emp-not-inc",16,"NeverMarried"," Sales",2,42,1
"316",56," Private",15,"Married"," Other-service",2,25,1
"317",31," Private",16,"NeverMarried"," Prof-specialty",2,25,1
"318",33," Private",16,"Married"," Exec-managerial",2,40,2
"319",26," Private",12,"Married"," Other-service",2,40,1
"320",33," Private",16,"Married"," Exec-managerial",2,40,2
"321",46," gov",10,"Married"," Transport-moving",2,30,1
"322",38," gov",12,"Married"," Adm-clerical",2,40,2
"323",65," Private",10,"DSW"," Other-service",2,40,1
"324",40," Private",14,"Married"," Tech-support",2,40,2
"325",42," Private",12,"Married"," Adm-clerical",1,35,1
"326",26," Self-emp-not-inc",8,"Married"," Craft-repair",2,40,1
"327",36," Private",9,"Married"," Other-service",1,24,1
"328",62," Private",17,"Married"," Prof-specialty",2,40,2
"329",43," Private",16,"Married"," Transport-moving",2,45,1
"330",43," Private",16,"DSW"," Exec-managerial",2,45,2
"331",22," Private",12,"Married"," Sales",2,55,1
"332",28," Private",12,"Married"," Craft-repair",2,40,1
"333",56," Self-emp-not-inc",13,"Married"," Sales",2,45,1
"334",22," Private",15,"NeverMarried"," Sales",1,15,1
"335",57," Private",16,"DSW"," Exec-managerial",1,45,2
"336",39," Private",12,"DSW"," Sales",1,40,1
"337",26," gov",13,"NeverMarried"," Adm-clerical",1,15,1
"338",17," Private",10,"NeverMarried"," Other-service",2,10,1
"339",40," gov",14,"Married"," Machine-op-inspct",2,38,2
"340",45," Private",12,"Married"," Machine-op-inspct",2,40,1
"341",44," Private",12,"NeverMarried"," Craft-repair",2,40,1
"342",20," gov",13,"NeverMarried"," Adm-clerical",1,10,1
"343",33," Private",12,"Married"," Craft-repair",1,40,1
"344",23," Private",13,"NeverMarried"," Sales",2,40,1
"345",46," Self-emp-not-inc",17,"DSW"," Exec-managerial",2,30,1
"346",38," Private",12,"Married"," Sales",2,50,1
"347",54," Private",12,"DSW"," Transport-moving",2,40,1
"348",46," Private",6,"DSW"," Craft-repair",1,45,1
"349",25," Private",13,"Married"," Craft-repair",2,40,1
"350",46," Private",13,"DSW"," Sales",1,40,1
"351",36," gov",13,"Married"," Transport-moving",1,40,1
"352",23," Private",12,"NeverMarried"," Other-service",1,25,1
"353",29," Private",12,"DSW"," Machine-op-inspct",2,40,1
"354",44," Private",13,"Married"," Adm-clerical",1,6,2
"355",19," Private",13,"NeverMarried"," Adm-clerical",1,16,1
"356",19," Private",12,"NeverMarried"," Other-service",1,40,1
"357",35," Private",12,"Married"," Other-service",1,40,2
"358",27," Private",16,"NeverMarried"," Craft-repair",2,50,1
"359",46," Self-emp-not-inc",15,"DSW"," Craft-repair",2,40,1
"360",34," gov",16,"Married"," Exec-managerial",2,45,2
"361",34," Private",12,"NeverMarried"," Other-service",1,35,1
"362",44," Private",13,"Married"," Tech-support",2,40,1
"363",45," Private",13,"DSW"," Handlers-cleaners",1,40,1
"364",25," Private",16,"Married"," Exec-managerial",2,55,2
"365",52," Self-emp-inc",16,"Married"," Exec-managerial",2,50,2
"366",20," Private",13,"NeverMarried"," Handlers-cleaners",2,40,1
"367",28," Private",13,"NeverMarried"," Other-service",1,40,1
"368",50," gov",16,"Married"," Protective-serv",2,40,2
"369",34," Private",14,"DSW"," Tech-support",1,64,1
"370",28," Private",7,"Married"," Handlers-cleaners",2,40,1
"371",41," Private",17,"Married"," Exec-managerial",2,65,2
"372",28," Private",12,"Married"," Adm-clerical",2,40,1
"373",46," Self-emp-not-inc",12,"Married"," Craft-repair",2,25,1
"374",32," Private",13,"Married"," Exec-managerial",2,50,1
"375",41," gov",13,"DSW"," Other-service",1,24,1
"376",24," Private",12,"NeverMarried"," Handlers-cleaners",1,40,1
"377",33," Private",13,"DSW"," Exec-managerial",1,40,1
"378",46," Private",19,"Married"," Exec-managerial",2,60,2
"379",31," gov",13,"Married"," Machine-op-inspct",2,40,1
"380",35," Private",11,"DSW"," Craft-repair",2,50,2
"381",30," Private",10,"NeverMarried"," Other-service",1,19,1
"382",34," gov",10,"DSW"," Machine-op-inspct",2,40,1
"383",34," gov",12,"DSW"," Transport-moving",1,40,1
"384",20," Private",13,"Married"," Sales",2,30,1
"385",17," Private",10,"NeverMarried"," Handlers-cleaners",2,18,1
"386",32," gov",16,"Married"," Exec-managerial",1,40,2
"387",29," Private",12,"DSW"," Farming-fishing",2,40,1
"388",33," Private",9,"NeverMarried"," Craft-repair",1,35,1
"389",25," Private",12,"Married"," Transport-moving",2,60,1
"390",36," gov",17,"NeverMarried"," Prof-specialty",2,40,1
"391",23," Private",12,"NeverMarried"," Handlers-cleaners",2,72,1
"392",63," Self-emp-inc",12,"Married"," Exec-managerial",2,40,2
"393",47," gov",17,"Married"," Prof-specialty",2,40,1
"394",40," Self-emp-not-inc",16,"Married"," Prof-specialty",1,40,1
"395",30," Private",15,"Married"," Other-service",1,25,2
"396",27," Private",13,"NeverMarried"," Craft-repair",2,40,1
"397",33," Private",17,"Married"," Prof-specialty",2,50,2
"398",34," gov",12,"NeverMarried"," Farming-fishing",2,60,1
"399",34," gov",13,"NeverMarried"," Protective-serv",1,40,1
"400",23," Private",13,"Married"," Adm-clerical",2,40,1
"401",42," gov",13,"Married"," Adm-clerical",1,40,1
"402",29," Private",16,"NeverMarried"," Prof-specialty",2,40,1
"403",45," Private",12,"DSW"," Adm-clerical",1,28,1
"404",24," gov",12,"NeverMarried"," Armed-Forces",2,40,1
"405",44," Private",13,"Married"," Prof-specialty",2,40,2
"406",27," Private",8,"NeverMarried"," Craft-repair",2,40,1
"407",20," Private",13,"NeverMarried"," Sales",2,35,1
"408",44," Private",12,"DSW"," Exec-managerial",1,40,1
"409",51," Private",12,"Married"," Craft-repair",2,40,1
"410",20," Private",12,"Married"," Machine-op-inspct",2,40,1
"411",19," Private",12,"NeverMarried"," Machine-op-inspct",1,40,1
"412",45," Self-emp-inc",13,"Married"," Craft-repair",2,55,2
"413",60," Private",12,"Married"," Craft-repair",2,40,2
"414",42," Private",15,"Married"," Exec-managerial",2,40,2
"415",44," Self-emp-not-inc",12,"Married"," Sales",1,40,2
"416",40," Private",14,"Married"," Machine-op-inspct",2,40,2
"417",30," Private",12,"Married"," Exec-managerial",1,40,1
"418",38," Private",13,"Married"," Transport-moving",2,50,1
"419",23," Private",12,"Married"," Transport-moving",2,60,1
"420",44," Private",15,"NeverMarried"," Farming-fishing",2,40,1
"421",54," gov",12,"Married"," Transport-moving",2,40,1
"422",32," Private",16,"Married"," Prof-specialty",2,50,1
"423",24," Private",16,"NeverMarried"," Tech-support",1,20,1
"424",37," Private",12,"Married"," Adm-clerical",1,60,1
"425",52," Private",12,"DSW"," Transport-moving",2,40,1
"426",38," Private",13,"Married"," Transport-moving",2,40,1
"427",49," Private",17,"Married"," Exec-managerial",2,45,2
"428",30," Private",16,"Married"," Tech-support",1,16,2
"429",60," Private",13,"NeverMarried"," Prof-specialty",2,40,2
"430",35," Private",12,"NeverMarried"," Craft-repair",2,40,1
"431",30," Private",12,"NeverMarried"," Transport-moving",2,60,1
"432",67," Private",14,"DSW"," Other-service",1,24,1
"433",46," Private",16,"NeverMarried"," Craft-repair",1,40,1
"434",17," Private",8,"NeverMarried"," Other-service",2,6,1
"435",22," Private",13,"NeverMarried"," Handlers-cleaners",2,30,1
"436",27," Private",9,"NeverMarried"," Other-service",2,40,1
"437",23," Private",12,"NeverMarried"," Other-service",1,35,1
"438",33," Private",15,"Married"," Craft-repair",2,45,1
"439",43," Self-emp-not-inc",13,"Married"," Craft-repair",2,20,1
"440",28," gov",16,"NeverMarried"," Prof-specialty",2,20,1
"441",41," Private",12,"Married"," Craft-repair",1,40,1
"442",25," Private",13,"Married"," Adm-clerical",1,20,1
"443",59," gov",12,"Married"," Transport-moving",2,45,1
"444",45," gov",16,"DSW"," Prof-specialty",1,40,1
"445",38," Private",16,"Married"," Sales",2,60,2
"446",40," Private",12,"NeverMarried"," Other-service",1,35,1
"447",46," gov",12,"DSW"," Adm-clerical",2,40,1
"448",35," Private",15,"NeverMarried"," Exec-managerial",1,60,1
"449",34," Private",12,"DSW"," Prof-specialty",1,25,1
"450",33," Private",16,"NeverMarried"," Craft-repair",2,20,1
"451",41," Private",12,"DSW"," Adm-clerical",1,36,1
"452",20," Private",13,"NeverMarried"," Machine-op-inspct",2,40,1
"453",23," Private",6,"NeverMarried"," Other-service",2,40,1
"454",26," Private",13,"NeverMarried"," Prof-specialty",1,35,1
"455",23," gov",12,"NeverMarried"," Farming-fishing",2,40,1
"456",62," gov",12,"Married"," Transport-moving",2,40,1
"457",52," Private",13,"Married"," Adm-clerical",2,40,1
"458",58," Private",13,"DSW"," Other-service",1,42,1
"459",25," Private",16,"NeverMarried"," Sales",1,40,1
